Index,molecule_chembl_id,IC50,units,smiles,pIC50
131,CHEMBL387178,6.2,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(F)cc2o1,8.20760831050175
132,CHEMBL217442,15.9,nM,COc1cc2oc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)cc(=O)c2cc1F,7.79860287567955
133,CHEMBL387418,10.5,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(Cl)cc2o1,7.97881070093006
134,CHEMBL214767,6.7,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,8.17392519729917
135,CHEMBL204828,1.4,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)c(Cl)cc2o1,8.85387196432176
136,CHEMBL213761,19.9,nM,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccc(F)cc2o1,7.70114692359029
137,CHEMBL217707,5.6,nM,O=C(NC1CCN(Cc2ccc3c(c2)OC(F)(F)O3)CC1)c1cc(=O)c2ccc(F)cc2o1,8.2518119729938
138,CHEMBL216680,47.7,nM,CC(=O)Nc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,7.32148162095989
139,CHEMBL384487,20.3,nM,CC(=O)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,7.69250396208679
140,CHEMBL214768,8.5,nM,COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F,8.07058107428571
141,CHEMBL387309,14.7,nM,COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c(F)c1,7.83268266525182
142,CHEMBL216225,21.2,nM,O=C(NC1CCN(Cc2cccc(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1,7.67366413907125
143,CHEMBL217593,5.4,nM,COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,8.26760624017703
144,CHEMBL217400,10.4,nM,COc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1,7.98296666070122
145,CHEMBL425448,12.2,nM,O=C(NC1CCN(Cc2ccc3c(c2)OCCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,7.91364016932525
146,CHEMBL217105,13.5,nM,O=C(NC1CCN(Cc2cc3c(cc2Cl)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,7.86966623150499
147,CHEMBL215023,33500,nM,COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3cccc(F)c3)c2c1,4.47495519296315
148,CHEMBL216168,16000,nM,COc1ccc2c(=O)n(CC(O)CO)c(C#N)c(-c3cccc(C(F)(F)F)c3)c2c1,4.79588001734408
149,CHEMBL217571,76000,nM,COc1ccc2c(=O)n(C[C@@H](O)CO)c(C#N)c(-c3ccccc3)c2c1,4.11918640771921
150,CHEMBL216894,135000,nM,COc1ccc2c(=O)n(C[C@H](O)CO)c(C#N)c(-c3ccccc3)c2c1,3.86966623150499
151,CHEMBL214553,10000,nM,COc1ccc2c(=O)n(CC(CO)NCc3cccnc3)c(C#N)c(-c3ccccc3)c2c1,5
152,CHEMBL215050,1650,nM,COCCN(C)CCn1c(C#N)c(-c2cccc(F)c2)c2cc(OC)ccc2c1=O,5.78251605578609
153,CHEMBL214969,62000,nM,COc1ccc2c(=O)n(CCO)c(C#N)c(-c3cccc(F)c3)c2c1,4.20760831050175
154,CHEMBL215818,21000,nM,COc1ccc2c(-n3cnc(C)c3)nc(C#N)c(-c3cccc(F)c3)c2c1,4.67778070526608
155,CHEMBL214876,15000,nM,COc1ccc2c(NC[C@H](O)CO)nc(C#N)c(-c3ccccc3)c2c1,4.82390874094432
156,CHEMBL383997,20500,nM,COc1ccc2c(OC[C@H](O)CO)nc(C#N)c(-c3ccccc3)c2c1,4.68824613894425
157,CHEMBL214742,5300,nM,COc1ccc2c(=O)n(C)c(CN(C)C)c(-c3ccccc3)c2c1,5.27572413039921
158,CHEMBL216554,5280,uM,O=C(NC1CCN(Cc2ccc3occc3c2)CC1)c1cc(=O)c2ccc(F)cc2o1,5.27736607746619
159,CHEMBL216104,1370,uM,O=C(NC1CCN(Cc2ccc3sccc3c2)CC1)c1cc(=O)c2ccc(F)cc2o1,5.86327943284359
160,CHEMBL216180,6080,uM,O=C(NC1CCN(Cc2ccc3[nH]ccc3c2)CC1)c1cc(=O)c2ccc(F)cc2o1,5.21609642072727
161,CHEMBL274168,2530,uM,O=C(NC1CCN(Cc2ccc3cc[nH]c3c2)CC1)c1cc(=O)c2ccc(F)cc2o1,5.59687947882418
162,CHEMBL216524,34600,uM,O=C(NC1CCN(Cc2ccc3ncoc3c2)CC1)c1cc(=O)c2ccc(F)cc2o1,4.46092390120722
