number,CID,smiles,log_bb
148,2708,ClCCN(CCCl)c1ccc(cc1)CCCC(O)=O,-1.7
149,2726,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C,1.02
150,2756,S(Cc1[nH]cnc1C)CCNC(NC)=NC#N,-1.0599999
151,2789,Clc1cc2N(C(=O)CC(=O)N(c2cc1)C)c1ccccc1,0.36000001
152,2803,Clc1cccc(Cl)c1N=C1NCCN1,0.12
153,2995,N(CCCN1c2c(CCc3c1cccc3)cccc2)C,1.08
154,2997,Clc1cc2c(NC(=O)CN=C2c2ccccc2)cc1,0.51999998
155,3007,NC(Cc1ccccc1)C,0.93000001
156,3016,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,0.47
157,3043,O1C(CCC1n1c2N=CNC(=O)c2nc1)CO,-1.3
158,3100,O(C(c1ccccc1)c1ccccc1)CCN(C)C,1.26
159,3121,OC(=O)C(CCC)CCC,-0.41
160,3151,Clc1cc2NC(=O)N(c2cc1)C1CCN(CC1)CCCN1c2c(NC1=O)cccc2,-0.85000002
161,3152,O(C)c1cc2c(CC(CC3CCN(CC3)Cc3ccccc3)C2=O)cc1OC,0.88999999
162,3162,O(C(C)(c1ccccc1)c1ncccc1)CCN(C)C,0.63999999
163,3226,ClC(F)C(F)(F)OC(F)F,0.22
164,3230,OC1CCC2(C3C(CCC2C1(C)C)(C)C1(C(C2CC(CCC2(CC1)C)(C(O)=O)C)=CC3=O)C)C,-1.4
165,3282,O(CC)c1ccccc1C(=O)N,-0.050000001
166,3283,O(CC)CC,0
167,3308,O1CCc2c([nH]c3c2cccc3CC)C1(CC(O)=O)CC,-1.42
168,3310,O1C2C(OC(OC2)C)C(O)C(O)C1OC1C2C(C(c3c1cc1OCOc1c3)c1cc(OC)c(O)c(OC)c1)C(OC2)=O,-2
169,3345,O=C(N(C1CCN(CC1)CCc1ccccc1)c1ccccc1)CC,0.58999997
170,3348,OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,-0.98000002
171,3372,S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)CCO)cc(cc2)C(F)(F)F,1.51
172,3373,Fc1cc2c(-n3c(CN(C)C2=O)c(nc3)C(OCC)=O)cc1,-0.28999999
173,3380,Fc1ccccc1C1=NCC(=O)N(c2c1cc([N+](=O)[O-])cc2)C,0.07
174,3386,FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,0.72000003
175,3469,Oc1ccc(O)cc1C(O)=O,0.090000004
176,3510,O=C(NC1CC2N(C(C1)CCC2)C)c1nn(c2c1cccc2)C,-0.69
177,3559,Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,1.33
178,3562,BrC(Cl)C(F)(F)F,0.31999999
179,3608,O=C1N(C)C(=O)NC(=O)C1(C)C=1CCCCC=1,0.029999999
180,3658,Clc1ccc(cc1)C(N1CCN(CC1)CCOCCO)c1ccccc1,0.36000001
181,3672,OC(=O)C(C)c1ccc(cc1)CC(C)C,-0.18000001
182,3676,O=C(Nc1c(cccc1C)C)CN(CC)CC,0.34
183,3696,N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,0.98000002
184,3715,Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,-1.26
185,3763,ClC(OC(F)F)C(F)(F)F,0.37
186,3776,OC(C)C,-0.15000001
187,3878,Clc1c(cccc1Cl)-c1nnc(nc1N)N,0.28999999
188,3955,Clc1ccc(cc1)C1(O)CCN(CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,0.76999998
189,3958,Clc1ccccc1C1=NC(O)C(=O)Nc2c1cc(Cl)cc2,0.44
190,4046,FC(F)(F)c1c2nc(cc(c2ccc1)C(O)C1NCCCC1)C(F)(F)F,0.63
191,4078,S1c2c(N(c3c1cccc3)CCC1N(CCCC1)C)cc(S(=O)C)cc2,-0.28
192,4112,OC(=O)C(NC(=O)c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1)CCC(O)=O,-1.51
193,4116,ClC(Cl)C(F)(F)OC,0.23
194,4171,O(CC(O)CNC(C)C)c1ccc(cc1)CCOC,1.15
195,4184,N12C(c3c(Cc4c1cccc4)cccc3)CN(CC2)C,0.99000001
196,4192,Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3C)cc1,0.37
197,4205,n1c2N3C(c4c(Cc2ccc1)cccc4)CN(CC3)C,0.52999997
198,4421,O=C1c2ccc(nc2N(C=C1C(O)=O)CC)C,-0.66000003
199,4463,O=C1Nc2c(nccc2C)N(c2ncccc12)C1CC1,0
200,4585,S1C2=Nc3c(NC(N4CCN(CC4)C)=C2C=C1C)cccc3,0.77999997
201,4594,S(=O)(Cc1ncc(C)c(OC)c1C)c1[nH]c2cc(OC)ccc2n1,-0.81999999
202,4616,Clc1cc2c(NC(=O)C(O)N=C2c2ccccc2)cc1,0.60000002
203,4687,O=C1N(C)C(=O)Nc2ncn(c12)C,0.07
204,4736,Oc1cc2c(CC3N(CCC2(C)C3C)CC=C(C)C)cc1,0.50999999
205,4737,O=C1NC(=O)NC(=O)C1(C(CCC)C)CC,0.079999998
206,4781,OC=1N(N(C(=O)C=1CCCC)c1ccccc1)c1ccccc1,-0.51999998
207,4828,O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,-0.14
208,4909,O=C1NCNC(=O)C1(CC)c1ccccc1,-0.07
209,4914,O(C(=O)c1ccc(N)cc1)CCN(CC)CC,0.050000001
210,4926,S1c2c(N(c3c1cccc3)CCCN(C)C)cccc2,1.08
211,4943,Oc1c(cccc1C(C)C)C(C)C,0.63
212,4946,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,0.83999997
213,4992,O(C)c1ccc(cc1)CN(CCN(C)C)c1ncccc1,0.49000001
214,5039,S(Cc1oc(cc1)CN(C)C)CCNC(=NC)C[N+](=O)[O-],-1.23
215,5064,O1C(CO)C(O)C(O)C1n1nc(nc1)C(=O)N,-0.67000002
216,5073,Fc1cc2onc(c2cc1)C1CCN(CC1)CCC=1C(=O)N2C(=NC=1C)CCCC2,-0.02
217,5092,O(c1cc(ccc1OC)C1CC(=O)NC1)C1CCCC1,0.61000001
218,5095,O=C1Nc2c(C1)c(ccc2)CCN(CCC)CCC,0.079999998
219,5142,S(C(N)=N)C,-0.60000002
220,5155,O1C(C=CC1N1C=C(C)C(=O)NC1=O)CO,-0.47999999
221,5184,O1C2C3N(C(CC(OC(=O)C(CO)c4ccccc4)C3)C12)C,0.23
222,5193,O=C1NC(=O)NC(=O)C1(C(CCC)C)CC=C,0.2
223,5206,FC(F)(F)C(OCF)C(F)(F)F,0.30000001
224,5253,S(=O)(=O)(Nc1ccc(cc1)C(O)CNC(C)C)C,-0.28
225,5265,Fc1ccc(cc1)C(=O)CCCN1CCC2(N(CNC2=O)c2ccccc2)CC1,0.25999999
226,5402,N(Cc1c2c(ccc1)cccc2)(CC=CC#CC(C)(C)C)C,0.079999998
227,5405,OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C)(C)C)(c1ccccc1)c1ccccc1,0.63999999
228,5429,O=C1NC(=O)N(c2ncn(c12)C)C,-0.28999999
229,5452,S1c2c(N(c3c1cccc3)CCC1N(CCCC1)C)cc(SC)cc2,0.25999999
230,5538,OC(=O)C=C(C=CC=C(C=CC=1C(CCCC=1C)(C)C)C)C,-0.49000001
231,5556,Clc1ccccc1C1=NCc2n(-c3c1cc(Cl)cc3)c(nn2)C,0.67000002
232,5566,S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)C)cc(cc2)C(F)(F)F,1.4299999
233,5568,S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(F)(F)F,1.4400001
234,5726,O1C(CO)C([N-][N+]#N)CC1N1C=C(C)C(=O)NC1=O,-0.74000001
235,5732,O=C(N(C)C)Cc1n2C=C(C=Cc2nc1-c1ccc(cc1)C)C,-0.47999999
236,5760,O(C(=O)c1ccccc1)C1CC2N(C(CC2)C1C(OC)=O)C,0.60000002
237,5917,n12nnnc1CCCCC2,-0.029999999
238,5953,O(C)c1cc2c(nccc2C(O)C2N3CC(C(C2)CC3)C=C)cc1,-0.20999999
239,5978,O(C(=O)C)C1C2(C3N(CCC34C(N(c3cc(OC)c(cc34)C3(CC4CC(O)(CN(C4)CCc4c3[nH]c3c4cccc3)CC)C(OC)=O)C=O)C1(O)C(OC)=O)CC=C2)CC,-1.03
240,5983,O(C(=O)NC)c1cc2c(N(C3N(CCC23C)C)C)cc1,0.079999998
241,6009,O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,0
242,6047,Oc1cc(ccc1O)CC(N)C(O)=O,-0.77999997
243,6085,O(C)c1cc2C3C(Cc2cc1OC)CN(C3)CCCC,0.31
244,6212,ClC(Cl)Cl,0.25999999
245,6251,OC(C(O)C(O)CO)C(O)CO,-1.6
246,6276,OCCCCC,0.2
247,6278,ClC(Cl)(Cl)C,0.23999999
248,6344,ClCCl,-0.17
249,6351,C1CC1,0.029999999
250,6354,O1CC1,0.0099999998
251,6358,BrC(C)C,0.56
252,6365,ClC(Cl)C,-0.28
253,6386,OC(C)(C)C,0.11
254,6403,C(CC)(C)(C)C,1.03
255,6405,OC(CC)(C)C,0.07
256,6408,ClCC(F)(F)F,-0.079999998
257,6468,N1(CCCCC1)C1(CCCCC1)c1ccccc1,0.57999998
258,6473,O=C1NC(=O)NC(=O)C1(CCCC)CC,0.19
259,6560,OCC(C)C,-0.17
260,6569,O=C(CC)C,-0.07
261,6574,ClC(Cl)CCl,-0.1
262,6575,ClC(Cl)=CCl,0.30000001
263,6584,O(C(=O)C)C,-0.13
264,6623,Oc1ccc(cc1)C(C)(C)c1ccc(O)cc1,-0.12
265,7174,O(C(=O)c1ccc(N)cc1)CCC,0.55000001
266,7237,c1cccc(C)c1C,0.38999999
267,7247,c1c(C)c(ccc1C)C,0.16
268,7282,C(CC)(CC)C,1.01
269,7296,C1CCCC1C,0.93000001
270,7366,c1ccccc1C(C)(C)C,0.43000001
271,7394,Clc1ccc(cc1)C(F)(F)F,0.17
272,7500,c1ccccc1CC,0.22
273,7501,c1ccccc1C=C,0.44999999
274,7558,N(C(CC1CCCCC1)C)C,1.08
275,7809,c1cc(ccc1C)C,0.33000001
276,7840,BrCCC,0.27000001
277,7845,C(C=C)=C,-0.17
278,7855,N#CC=C,-0.40000001
279,7859,OCC#C,-0.23
280,7892,C(CCC)(C)C,0.98000002
281,7895,O=C(CCC)C,-0.0099999998
282,7915,O(C(C)C)C(=O)C,0.40000001
283,7929,c1c(cccc1C)C,0.28
284,7962,C1CCCCC1C,0.95999998
285,7997,O(C(=O)C)CCC,0.12
286,8003,C(CC)CC,0.75
287,8038,O(C(=O)C)CC(C)C,0.44999999
288,8058,C(CCC)CC,0.77999997
289,8078,C1CCCCC1,0.95999998
290,8125,C(CCC=C)CCC,0.74000001
291,8141,C(CCCC)CCCC,0.51999998
292,8252,C(C)=C,-0.059999999
293,8522,IC=1C(=O)N(N(C)C=1C)c1ccccc1,-0.1
294,8723,OCC(CC)C,0.039999999
295,8857,O(C(=O)C)CC,0
296,8900,C(CCC)CCC,0.75999999
297,8942,O=C1NC(=O)NC(=O)C1(CCCCCC)CC,0.36000001
298,9034,O=C1N(C)C(=O)NC(=O)C1(C(C#CCC)C)CC=C,-0.07
299,9651,O1c2c3C4(C1CC(O)C=C4)CCN(Cc3ccc2OC)C,0.31999999
300,9664,ClC=C(F)F,-0.02
301,9844,FC(F)(F)COC=C,0.13
302,10253,Oc1ccccc1C(=O)NCC(O)=O,-0.44
303,11416,C1CCCC(C)C1C,1.0700001
304,11594,C(CCCCC)(C)C,0.86000001
305,12348,O(C(=O)C)CCCCC,0.40000001
306,12418,ClC(Cl)(Cl)CCl,0.33000001
307,12512,O(C(C)(C)C)CC,0.22
308,12598,S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)C)cc(cc2)C(=O)CCC,0.82999998
309,13342,O(C(=O)C)C1C2(C3N(CCC34C(N(c3cc(OC)c(cc34)C3(CC4CC(O)(CN(C4)CCc4c3[nH]c3c4cccc3)CC)C(OC)=O)C)C1(O)C(OC)=O)CC=C2)CC,-0.07
310,13379,C(CCCCCCC)(C)C,1.05
311,13381,C(CCCC=C)CCCC,0.95999998
312,15413,O(C(C)(C)C)C,0.36000001
313,15600,C(CCCCC)CCCC,0.67000002
314,17358,S(F)(F)(F)(F)(F)F,0.37
315,18047,O(CC(O)CNC(C)C)c1cc(ccc1)C,0.34
316,18508,C1CCCCC1C(C)(C)C,0.61000001
317,18591,C(CCCCCC)(C)C,0.98000002
318,22407,O=C1N2C(C3CC(C2)CNC3)=CC=C1,-1.09
319,24066,O1C(CCC1N1C=CC(=NC1=O)N)CO,-1.1799999
320,28315,S1c2c(N(c3c1cccc3)CCCNC)cccc2,0.58999997
321,30322,O1C(C)C(OC2OC(C)C(O)C(O)C2)C(O)CC1OC1C(OC(OC2CC3CCC4C(CC(O)C5(C)C(CCC45O)C4=CC(OC4)=O)C3(CC2)C)CC1O)C,-1.23
322,31272,O(C(=O)C)CCCC,0.28
323,31276,O(C(=O)C)CCC(C)C,0.55000001
324,31285,C(CCCC)CCC=C,0.86000001
325,31300,BrC(F)C(F)(F)F,0.27000001
326,31373,ClC(Cl)=C(Cl)Cl,0.37
327,31423,c12c3c4ccc1cccc2ccc3ccc4,0.23
328,31703,O1C(C)C(O)C(N)CC1OC1CC(O)(Cc2c1c(O)c1c(C(=O)c3c(C1=O)c(OC)ccc3)c2O)C(=O)CO,-0.82999998
329,31765,S1c2c(N(c3c1cccc3)CCC1N(CCCC1)C)cc(S(=O)(=O)C)cc2,0.18000001
