,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,assay_description,assay_type,smiles
18865,19050033,CHEMBL4354543,CHEMBL3628756,LogD,,=,3.61,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,CCOc1cc(C)c(-c2cccc(COc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18866,19050034,CHEMBL4354543,CHEMBL4570807,LogD,,=,3.04,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,CCOc1cc(C)c(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18867,19050037,CHEMBL4354543,CHEMBL4450552,LogD,,=,3.59,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,CCCOc1cc(C)c(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18868,19050038,CHEMBL4354543,CHEMBL4574808,LogD,,=,2.47,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,COCCOc1cc(C)c(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18869,19050039,CHEMBL4354543,CHEMBL4537797,LogD,,=,1.73,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(CNc2ccc(OCC(=O)O)c(F)c2)c1
18870,19050040,CHEMBL4354543,CHEMBL4577954,LogD,,=,2.25,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,O=C(O)COc1ccc(NCc2cccc(-c3ccccc3)c2)cc1F
18871,19050041,CHEMBL4354543,CHEMBL4461611,LogD,,=,2.74,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,O=C(O)COc1ccc(NCc2ccc(Cl)c(-c3ccccc3)c2)cc1F
18872,19050042,CHEMBL4354543,CHEMBL4471403,LogD,,=,2.36,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,O=C(O)COc1ccc(NCc2cccc(-c3ccccc3F)c2)cc1F
18873,19050043,CHEMBL4354543,CHEMBL4438440,LogD,,=,2.71,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,O=C(O)COc1ccc(NCc2cccc(-c3ccccc3Cl)c2)cc1F
18874,19050044,CHEMBL4354543,CHEMBL4460582,LogD,,=,2.41,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,Cc1ccccc1-c1cccc(CNc2ccc(OCC(=O)O)c(F)c2)c1
18875,19050045,CHEMBL4354543,CHEMBL4593950,LogD,,=,3.13,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,O=C(O)COc1ccc(NCc2cccc(-c3ccccc3C(F)(F)F)c2)cc1F
18876,19050046,CHEMBL4354543,CHEMBL4458669,LogD,,=,3.45,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,CC(C)c1ccccc1-c1cccc(CNc2ccc(OCC(=O)O)c(F)c2)c1
18877,19050049,CHEMBL4354543,CHEMBL4537190,LogD,,=,3.24,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,Cc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(Cl)c1
18878,19050050,CHEMBL4354543,CHEMBL4575598,LogD,,=,2.83,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,CCOc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18879,19050051,CHEMBL4354543,CHEMBL4468987,LogD,,=,3.37,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,CCCOc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18880,19050052,CHEMBL4354543,CHEMBL4561122,LogD,,=,1.85,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,Cc1cc(O)ccc1-c1cccc(CNc2ccc(OCC(=O)O)c(F)c2)c1
18881,19050053,CHEMBL4354543,CHEMBL4442354,LogD,,=,2.23,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,COCCOc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1
18882,19050054,CHEMBL4354543,CHEMBL4534840,LogD,,=,1.65,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,Cc1cc(OCCO)ccc1-c1cccc(CNc2ccc(OCC(=O)O)c(F)c2)c1
18883,19050055,CHEMBL4354543,CHEMBL4550165,LogD,,=,1.59,CHEMBL2362975,"Lipophilicity, logD of compound in 1-octanol and PBS mixture in pH 7.4 at 100 uM incubated for 24 under shaking condition by HPLC analysis",P,Cc1cc(OCCCS(C)(=O)=O)ccc1-c1cccc(CNc2ccc(OCC(=O)O)c(F)c2)c1
18886,19060006,CHEMBL4358211,CHEMBL4446005,LogD,,=,2.7,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,Clc1ccc2c(c1)CNCc1nnc([C@H]3CC[C@H](Oc4ccccc4)CC3)n1-2
18887,19060007,CHEMBL4358211,CHEMBL4528100,LogD,,=,3.2,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccc3)CC2)C1
18888,19060010,CHEMBL4358211,CHEMBL4554191,LogD,,=,2.7,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,OCCN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccc3)CC2)C1
18889,19060011,CHEMBL4358211,CHEMBL4465436,LogD,,=,2.9,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccc3)CC2)C1
18890,19060012,CHEMBL4358211,CHEMBL4438603,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN(C)CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccc3)CC2)C1
18891,19060014,CHEMBL4358211,CHEMBL4449988,LogD,,=,3.1,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CS(=O)(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccc3)CC2)C1
18892,19060015,CHEMBL4358211,CHEMBL4545995,LogD,,=,4.1,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN(C)S(=O)(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccc3)CC2)C1
18893,19060016,CHEMBL4358211,CHEMBL4451815,LogD,,=,2.0,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,Cc1cc(C)nc([C@H]2CC[C@H](c3nnc4n3-c3ccc(Cl)cc3CN(C)C4)CC2)n1
18894,19060017,CHEMBL4358211,CHEMBL4442440,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](c3ncccc3F)CC2)C1
18895,19060018,CHEMBL4358211,CHEMBL4439668,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](c3ccc(F)cn3)CC2)C1
18896,19060019,CHEMBL4358211,CHEMBL4458826,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](c3ncc(F)cc3F)CC2)C1
18897,19060020,CHEMBL4358211,CHEMBL4590203,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](c3ncccc3Cl)CC2)C1
18898,19060021,CHEMBL4358211,CHEMBL4444258,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](c3cccc(Cl)n3)CC2)C1
18899,19060022,CHEMBL4358211,CHEMBL4569962,LogD,,=,2.5,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,Cc1cccc([C@H]2CC[C@H](c3nnc4n3-c3ccc(Cl)cc3CN(C)C4)CC2)n1
18900,19060023,CHEMBL4358211,CHEMBL4524486,LogD,,=,1.0,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](C3=NOCC3)CC2)C1
18901,19060025,CHEMBL4358211,CHEMBL4545371,LogD,,=,2.4,CHEMBL2362975,"Water/octanol distribution coefficient, log D of the compound at pH 7.4 measured after 18 hrs by LC-MS analysis",P,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](n3nnc4ccccc43)CC2)C1
18955,19065755,CHEMBL4360279,CHEMBL4451408,LogD,,=,2.68,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,COc1nc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ncc1C#N
18956,19065756,CHEMBL4360279,CHEMBL4442678,LogD,,=,2.74,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,COc1cc2[nH]c(=O)c([C@H](C)Nc3ncc(C#N)c(OC)n3)cc2cc1Cl
18957,19065837,CHEMBL4360279,CHEMBL4569798,LogD,,=,3.74,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,Cc1nc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ccc1C#N
18958,19065838,CHEMBL4360279,CHEMBL4473772,LogD,,=,3.67,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,COc1cc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ccc1C#N
18959,19065839,CHEMBL4360279,CHEMBL4531302,LogD,,=,3.38,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,COc1cc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ncc1C#N
18960,19065840,CHEMBL4360279,CHEMBL4557532,LogD,,=,3.47,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,COc1nc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ccc1C#N
18961,19065841,CHEMBL4360279,CHEMBL4577329,LogD,,=,2.5,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,COc1nc(C#N)ccc1N[C@@H](C)c1cc2cc(Cl)ccc2[nH]c1=O
18962,19065842,CHEMBL4360279,CHEMBL4467022,LogD,,=,3.11,CHEMBL2362975,"Octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4",P,Cc1nc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ncc1C#N
19046,19076231,CHEMBL4362851,CHEMBL4538116,LogD,,=,1.43,CHEMBL2362975,"Lipophilicity, log D of the compound in octanol/pH 7.4 PBS vortex at 1 uCi for 5 mins and repeated for 4 times by gamma counter method",P,C[C@@H](Oc1cc(-c2cnn(C3CCN(CC[18F])CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
19047,19076232,CHEMBL4362851,CHEMBL4441978,LogD,,=,1.47,CHEMBL2362975,"Lipophilicity, log D of the compound in octanol/pH 7.4 PBS vortex at 1 uCi for 5 mins and repeated for 4 times by gamma counter method",P,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1c(c3ccc(C#N)cc3n1CC[18F])C2=O
19048,19076233,CHEMBL4362851,CHEMBL4441768,LogD,,=,1.51,CHEMBL2362975,"Lipophilicity, log D of the compound in octanol/pH 7.4 PBS vortex at 1 uCi for 5 mins and repeated for 4 times by gamma counter method",P,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCN(CC[18F])CC1
19052,19083814,CHEMBL4364182,CHEMBL4584196,LogD,,=,0.08,CHEMBL2362975,"n-Octanol-PBS buffer distribution coefficient, log D of compound incubated for 4 hrs by LC-MS/MS analysis",P,CCOC(=O)C1=C(C)NC(=O)NC1c1cc2c(cc1OC)OC(C)(CC)C=C2Cl
19123,19118775,CHEMBL4372489,CHEMBL4570276,LogD,,=,3.9,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CC(C)c1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2cccc(-c3cnc4ccccc4c3)c12
19124,19118776,CHEMBL4372489,CHEMBL3656927,LogD,,=,3.3,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CC(C)c1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2ccnc(-c3cnc4ccccc4c3)c12
19125,19118777,CHEMBL4372489,CHEMBL3656928,LogD,,=,4.0,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CC(C)c1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2cncc(-c3cnc4ccccc4c3)c12
19126,19118778,CHEMBL4372489,CHEMBL3656929,LogD,,=,3.4,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CC(C)c1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2nccc(-c3cnc4ccccc4c3)c12
19127,19118779,CHEMBL4372489,CHEMBL4531254,LogD,,=,3.6,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CC(C)c1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2nccc(-n3cnc(-c4cnn(C)c4)c3)c12
19128,19118780,CHEMBL4372489,CHEMBL4562468,LogD,,=,3.0,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CC(C)c1nn(-c2ccc(C(N)=O)cc2)c2nccc(-n3cnc(-c4cnn(C)c4)c3)c12
19129,19118781,CHEMBL4372489,CHEMBL3661122,LogD,,=,3.0,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CNc1cc(-n2nc(C(C)C)c3c(-n4cnc(-c5cnn(C)c5)c4)ccnc32)ccc1C(N)=O
19130,19118782,CHEMBL4372489,CHEMBL4561141,LogD,,=,1.9,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CNc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21
19131,19118783,CHEMBL4372489,CHEMBL3661113,LogD,,=,2.1,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,Cc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21
19132,19118784,CHEMBL4372489,CHEMBL3661115,LogD,,=,2.4,CHEMBL2362975,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by HPLC method",P,CCc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cnn(C)c4)c3)ccnc21
19133,19122002,CHEMBL4373054,CHEMBL4464366,LogD,,=,2.5,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)Cc1ccc2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nn2c1
19134,19122003,CHEMBL4373054,CHEMBL4475624,LogD,,=,1.6,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)CCNc1ccc2nc(-c3ccc(F)cc3)c(-c3ccnc(N)n3)n2n1
19135,19122004,CHEMBL4373054,CHEMBL4458586,LogD,,=,1.2,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)Cc1ccc2c(c1)nc(-c1ccc(F)cc1)n2-c1ccnc(N)n1
19136,19122005,CHEMBL4373054,CHEMBL4536721,LogD,,=,2.1,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)Cc1ccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc2n1
19137,19122006,CHEMBL4373054,CHEMBL4548551,LogD,,=,2.1,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)Cc1cc2nc(-c3ccc(F)cc3)c(-c3ccnc(N)n3)n2cn1
19138,19122007,CHEMBL4373054,CHEMBL4525533,LogD,,=,2.7,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN1CCC(n2cc(Nc3nccc(-c4c(-c5ccc(F)cc5)nc5ccccn45)n3)cn2)CC1
19139,19122008,CHEMBL4373054,CHEMBL4537762,LogD,,=,3.3,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN1CCC(c2ccc(Nc3nccc(-c4c(-c5ccc(F)cc5)nc5ccccn45)n3)cc2)CC1
19140,19122009,CHEMBL4373054,CHEMBL4525519,LogD,,=,4.0,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN1CCN(c2ccc(Nc3nccc(-c4c(-c5ccc(F)cc5)nc5ccccn45)n3)cc2)CC1
19141,19122010,CHEMBL4373054,CHEMBL4529000,LogD,,=,1.8,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,Fc1ccc(-c2nc3ccccn3c2-c2ccnc(NC3CCOCC3)n2)cc1
19142,19122011,CHEMBL4373054,CHEMBL4552116,LogD,,=,1.8,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3ccccn23)n1
19143,19122012,CHEMBL4373054,CHEMBL425949,LogD,,=,2.4,CHEMBL2362975,"Octanol/phosphate buffer solution distribution coefficient, log D of the compound at 100 uM after 12 hrs by LC-MS/MS based shake flask method",P,CN(C)Cc1ccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc2c1
19182,19145240,CHEMBL4378185,CHEMBL4440468,LogD,,=,1.7,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccc(Cl)cc2)cnc1C(=O)c1cccc(C(=O)O)c1
19183,19145241,CHEMBL4378185,CHEMBL4465323,LogD,,=,1.3,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccc(Cl)cc2)cnc1C(=O)[C@@H]1C[C@H]1C(=O)O
19184,19145242,CHEMBL4378185,CHEMBL4454609,LogD,,=,2.4,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccc(Cl)c3ccccc23)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19185,19145243,CHEMBL4378185,CHEMBL4442047,LogD,,=,1.6,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccc(Cl)c(Cl)c2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19186,19145244,CHEMBL4378185,CHEMBL4440339,LogD,,=,0.65,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccccc2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19187,19145245,CHEMBL4378185,CHEMBL4565235,LogD,,=,2.8,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccc(Cl)c3ccccc23)cnc1C(=O)CCCC(=O)O
19188,19145246,CHEMBL4378185,CHEMBL4456770,LogD,,=,2.9,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1nc(C(=O)[C@@H]2C[C@H]2C(=O)O)ncc1N(CC1CC1)c1ccc(Cl)c2ccccc12
19189,19145247,CHEMBL4378185,CHEMBL4441362,LogD,,=,1.9,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2ccc(F)c3ccccc23)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19190,19145248,CHEMBL4378185,CHEMBL4464773,LogD,,=,2.2,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC(C)C)c2ccc(F)c3ccccc23)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19191,19145249,CHEMBL4378185,CHEMBL4563433,LogD,,=,1.8,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,CCCN(c1cnc(C(=O)[C@H]2C[C@@H]2C(=O)O)c(OC)c1)c1ccc(F)c2ccccc12
19192,19145250,CHEMBL4378185,CHEMBL4476024,LogD,,=,1.4,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,CCN(c1cnc(C(=O)[C@H]2C[C@@H]2C(=O)O)c(OC)c1)c1ccc(F)c2ccccc12
19193,19145251,CHEMBL4378185,CHEMBL4567339,LogD,,=,1.4,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC2CC2)c2cccc(C(F)(F)F)c2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19194,19145252,CHEMBL4378185,CHEMBL4574370,LogD,,=,1.6,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC(C)C)c2cccc(C(F)(F)F)c2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19195,19145253,CHEMBL4378185,CHEMBL4466708,LogD,,=,0.0,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC(C)(C)O)c2cccc(C(F)(F)F)c2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19196,19145254,CHEMBL4378185,CHEMBL4439148,LogD,,=,0.9,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,COc1cc(N(CC(C)(C)F)c2cccc(C(F)(F)F)c2)cnc1C(=O)[C@H]1C[C@@H]1C(=O)O
19197,19145255,CHEMBL4378185,CHEMBL4439499,LogD,,=,1.2,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,CCCN(c1cccc(C(F)(F)F)c1)c1cnc(C(=O)[C@H]2C[C@@H]2C(=O)O)c(OC)c1
19198,19145256,CHEMBL4378185,CHEMBL4531985,LogD,,=,0.7,CHEMBL2362975,"Octanol/Sodium phosphate buffer partition coefficient, log D of compound at pH 7.4 at 1 mg incubated for overnight under shaking condition by LC-MS/MS analysis",P,CCN(c1cccc(C(F)(F)F)c1)c1cnc(C(=O)[C@H]2C[C@@H]2C(=O)O)c(OC)c1
