,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
2412,917273,CHEMBL632777,CHEMBL335254,LogD,,=,1.88,CHEMBL2362975,,Partition coefficient is determined in octanol/buffer solution at pH 12,P,CO/N=C(\C)C1CN2CCC1CC2
2414,917353,CHEMBL635137,CHEMBL1237152,LogD,,=,1.76,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.c1ccc2c(c1)OCC(c1ncc[nH]1)O2
2417,918664,CHEMBL635137,CHEMBL1203739,LogD,,=,2.4,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,CCCn1ccnc1CC1COc2ccccc2O1.Cl
2426,922009,CHEMBL632777,CHEMBL336590,LogD,,=,1.56,CHEMBL2362975,,Partition coefficient is determined in octanol/buffer solution at pH 12,P,CO/N=C(\C#N)C1CN2CCC1CC2
2428,922020,CHEMBL632777,CHEMBL167982,LogD,,=,1.01,CHEMBL2362975,,Partition coefficient is determined in octanol/buffer solution at pH 12,P,CO/N=C(\F)C12CCCN(CC1)C2
2454,930379,CHEMBL635137,CHEMBL543467,LogD,,=,0.33,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2
2463,934483,CHEMBL635137,CHEMBL578481,LogD,,=,2.31,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,CCn1ccnc1CC1COc2ccccc2O1.Cl
2470,937256,CHEMBL632777,CHEMBL137816,LogD,,=,1.65,CHEMBL2362975,,Partition coefficient is determined in octanol/buffer solution at pH 12,P,CO/N=C(/C)C12CCCN(CC1)C2
2472,937267,CHEMBL632777,CHEMBL336162,LogD,,=,2.12,CHEMBL2362975,,Partition coefficient is determined in octanol/buffer solution at pH 12,P,CO/N=C(\Cl)C12CCCN(CC1)C2
2475,937350,CHEMBL635137,CHEMBL1237158,LogD,,=,1.92,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.c1ccc2c(c1)OCC(Cc1ncc[nH]1)O2
2482,940113,CHEMBL635137,CHEMBL1203735,LogD,,=,3.29,CHEMBL2362975,,Tested for the 1-Octanol distribution coefficient determined by HPLC method (pH 7.4),P,Cl.c1ccc2c(c1)OCC(Cc1nc3ccccc3[nH]1)O2
2502,946488,CHEMBL632777,CHEMBL135645,LogD,,=,1.49,CHEMBL2362975,,Partition coefficient is determined in octanol/buffer solution at pH 12,P,CO/N=C(\C#N)C12CCCN(CC1)C2
2505,948088,CHEMBL636352,CHEMBL35963,LogD,,=,0.8,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)Nc2cccc(CC(=O)O)[n+]2[O-])n1
2510,950666,CHEMBL636352,CHEMBL34956,LogD,,=,0.1,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)N(CC)CCC(=O)O)n1
2513,952055,CHEMBL636352,CHEMBL32859,LogD,,=,1.9,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)Nc2nc(CC(=O)O)cs2)n1
2524,954533,CHEMBL633733,CHEMBL279413,LogD,,=,0.19,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(NCCO)C(O)C(C)O1
2534,959661,CHEMBL858278,CHEMBL278828,LogD,,=,1.98,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N2CCOCC2C#N)C(O)C(C)O1
2536,960680,CHEMBL635134,CHEMBL119319,LogD,,=,1.6,CHEMBL2362975,,Octanol water partition coefficient was determined at pH 7.4,P,COc1nc(N)c(CN)c(-c2ccc(Cl)cc2Cl)n1
2537,961007,CHEMBL636352,CHEMBL284837,LogD,,=,1.1,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)Nc2cccc(CC(=O)O)n2)n1
